PACKET_TYPE,TIMESTAMP,NODE_ID,RSSI,TEMP,HUMIDITY,SOIL,SMOKE,SOUND,V_BAT,SOC,SD_PCT
GSN_RCV,20240415_083341,GSN-01,-81,26.20,78.00,44,0,0,7.74,84,8.51
GSN_RCV,20240415_083342,GSN-01,-73,24.40,79.40,38,0,0,7.76,84,8.51
GSN_RCV,20240415_083343,GSN-01,-77,25.70,75.70,37,0,0,7.74,84,8.52
GSN_RCV,20240415_083344,GSN-01,-84,25.90,73.70,40,0,0,7.75,84,8.52
GSN_RCV,20240415_083345,GSN-01,-93,26.40,72.90,35,0,0,7.74,83,8.53
GSN_RCV,20240415_083346,GSN-01,-91,24.80,75.10,39,1,0,7.77,83,8.53
GSN_RCV,20240415_083347,GSN-01,-75,26.30,80.60,37,0,1,7.74,84,8.54
GSN_RCV,20240415_083348,GSN-01,-76,24.90,80.40,43,0,0,7.76,84,8.54
GSN_RCV,20240415_083349,GSN-01,-90,25.20,75.30,40,0,0,7.75,83,8.55
GSN_RCV,20240415_083350,GSN-01,-73,24.40,72.10,44,0,0,7.76,84,8.55
GSN_RCV,20240415_083351,GSN-01,-78,24.30,78.40,44,0,0,7.78,83,8.56
GSN_RCV,20240415_083352,GSN-01,-87,25.60,76.50,38,0,0,7.75,83,8.56
GSN_RCV,20240415_083353,GSN-01,-82,24.30,77.00,44,0,0,7.77,84,8.57
GSN_RCV,20240415_083354,GSN-01,-90,25.40,71.40,39,0,0,7.75,84,8.57
GSN_RCV,20240415_083355,GSN-01,-87,26.00,75.00,37,0,1,7.75,84,8.58
GSN_RCV,20240415_083356,GSN-01,-85,24.70,77.80,35,0,1,7.77,84,8.58
GSN_RCV,20240415_083357,GSN-01,-89,26.50,76.90,42,0,0,7.76,84,8.59
GSN_RCV,20240415_083358,GSN-01,-84,24.30,79.00,41,0,0,7.75,83,8.59
GSN_RCV,20240415_083359,GSN-01,-72,25.80,79.70,38,0,0,7.78,84,8.60
GSN_RCV,20240415_083400,GSN-01,-95,24.90,78.00,38,0,0,7.78,83,8.60
GSN_RCV,20240415_083401,GSN-01,-75,24.90,74.30,39,0,0,7.78,83,8.61
GSN_RCV,20240415_083402,GSN-01,-77,25.80,77.80,41,0,0,7.77,83,8.61
GSN_RCV,20240415_083403,GSN-01,-86,23.70,72.90,44,0,0,7.77,84,8.62
GSN_RCV,20240415_083404,GSN-01,-89,25.20,74.10,40,0,0,7.77,83,8.62
GSN_RCV,20240415_083405,GSN-01,-76,26.00,78.60,38,0,0,7.77,84,8.63
GSN_RCV,20240415_083406,GSN-01,-83,25.60,73.80,39,0,0,7.76,84,8.63
GSN_RCV,20240415_083407,GSN-01,-72,24.00,72.90,40,0,0,7.74,83,8.64
GSN_RCV,20240415_083408,GSN-01,-93,25.00,72.30,36,0,0,7.78,84,8.64
GSN_RCV,20240415_083409,GSN-01,-79,25.20,73.00,41,1,0,7.77,84,8.65
GSN_RCV,20240415_083410,GSN-01,-72,23.60,80.90,39,0,0,7.77,84,8.65
GSN_RCV,20240415_083411,GSN-01,-84,24.20,75.10,42,0,0,7.76,83,8.66
GSN_RCV,20240415_083412,GSN-01,-78,24.30,72.90,38,0,0,7.75,83,8.66
GSN_RCV,20240415_083413,GSN-01,-92,25.40,73.30,38,0,0,7.75,84,8.67
GSN_RCV,20240415_083414,GSN-01,-74,25.80,71.80,37,0,1,7.77,83,8.67
GSN_RCV,20240415_083415,GSN-01,-92,23.70,76.40,35,0,0,7.76,84,8.68
GSN_RCV,20240415_083416,GSN-01,-75,24.60,72.70,42,0,0,7.77,83,8.68
GSN_RCV,20240415_083417,GSN-01,-94,23.60,80.00,42,0,0,7.77,83,8.69
GSN_RCV,20240415_083418,GSN-01,-95,23.60,78.00,40,0,0,7.78,84,8.69
GSN_RCV,20240415_083419,GSN-01,-87,25.60,79.90,35,0,0,7.74,83,8.70
GSN_RCV,20240415_083420,GSN-01,-92,25.50,71.40,42,0,0,7.77,83,8.70
GSN_RCV,20240415_083421,GSN-01,-93,26.30,73.10,43,1,0,7.74,84,8.71
