PACKET_TYPE,TIMESTAMP,NODE_ID,RSSI,TEMP,HUMIDITY,SOIL,SMOKE,SOUND,V_BAT,SOC,SD_PCT
GSN_RCV,20260604_133115,GSN-01,,23.5,73.4,42,0,0,7.90,81,8.6
GSN_RCV,20260604_133145,GSN-01,-80,23.3,78.0,46,0,0,8.10,70,8.5
GSN_RCV,20260604_133215,GSN-01,,25.9,72.3,33,0,0,7.70,92,8.5
GSN_RCV,20260604_133245,GSN-01,,23.7,73.6,36,0,0,8.08,82,8.5
GSN_RCV,20260604_133315,GSN-01,,23.6,72.4,43,0,1,7.76,84,8.5
GSN_RCV,20260604_133117,GSN-01,,23.4,76.4,36,0,0,7.94,80,8.6
GSN_RCV,20260604_133147,GSN-01,,24.7,73.5,38,0,0,8.17,91,8.5
GSN_RCV,20260604_133217,GSN-01,,24.8,77.4,39,0,0,7.60,73,8.5
GSN_RCV,20260604_133247,GSN-01,,23.7,76.8,36,0,0,7.84,81,8.5
GSN_RCV,20260604_133317,GSN-01,,25.3,76.6,47,0,0,8.01,84,8.5
GSN_RCV,20260604_133120,GSN-01,-82,25.4,76.1,42,0,0,8.18,73,8.6
GSN_RCV,20260604_133150,GSN-01,,25.8,75.9,45,0,0,7.86,79,8.5
GSN_RCV,20260604_133220,GSN-01,,25.3,71.2,42,0,0,8.15,71,8.5
GSN_RCV,20260604_133250,GSN-01,,25.3,77.3,34,0,1,7.67,92,8.5
GSN_RCV,20260604_133320,GSN-01,,25.8,72.6,38,0,0,8.19,76,8.5
